,gene_symbol,GSM1531972,GSM1531973,GSM1531974,GSM1531975,GSM1531976,GSM1531977,GSM1531978,GSM1531979,GSM1531980,GSM1531981,GSM1531982,GSM1531983
ENSMUSG00000086596,Susd5,0,0,0,0,0,0.07589,0.03012,0.03491,0.12385,0,0.69675,0.06997
ENSMUSG00000086598,Btbd18,0.17628,0.1082,0.07041,0.15474,0.03137,0.11383,0.06024,0.10472,0.12385,0.08821,0.03029,0.13994
ENSMUSG00000086607,4930511M06Rik,0.97414,0.88792,0.43802,0.60348,1.00588,0.72885,0.68991,1.1905,1.19959,1.15561,0.62708,1.20878
ENSMUSG00000086610,Gm15408,0.38782,0.21649,0.42263,0.43343,0.251,0.30354,0.18073,0.27926,0.21673,0.23532,0.48489,0.31487
ENSMUSG00000086628,Gm16157,0.07051,0.03607,0,0.03315,0.03137,0.07589,0,0.03657,0,0.0294,0.09352,0.03499
ENSMUSG00000086629,2810403D21Rik,1.69842,2.27891,2.22674,2.31668,2.34874,2.99047,1.95192,2.09568,2.33053,2.13711,2.41924,2.43375
ENSMUSG00000086632,1700112J05Rik,0.04361,0,0,0,0.09412,0.08073,0,0.03805,0.03374,0,0.04581,0.03941
ENSMUSG00000086638,4930405A21Rik,0.38782,0.28853,0.31684,0.40233,0.47062,0.15177,0.24097,0.34907,0.34057,0.17642,0.4544,0.41983
ENSMUSG00000086646,Platr20,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086648,Gm15511,0,0,0,0,0,0,0,0,0,0.0294,0,0
ENSMUSG00000086649,Gm15286,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086653,9130015L21Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086657,Stamos,1.48078,1.33444,1.12653,1.36171,0.75299,1.25211,1.56632,1.04722,1.05268,1.49954,1.15114,1.25949
ENSMUSG00000086662,BC046251,0,0,0,0.03108,0,0,0,0,0,0,0.06107,0.03501
ENSMUSG00000086682,Gm16023,1.26425,1.05702,2.06067,1.16367,0.8556,1.55024,1.07757,1.09906,1.13357,1.34145,1.12872,1.65396
ENSMUSG00000086687,4930547E08Rik,0.07051,0.03607,0,0,0.06275,0.03794,0.06024,0.03491,0.03096,0,0,0
ENSMUSG00000086690,4933406J10Rik,0.03526,0,0,0.03095,0,0,0,0.03491,0.03096,0,0,0
ENSMUSG00000086703,4930507D10Rik,0,0,0,0,0,0.03794,0,0,0,0,0,0
ENSMUSG00000086706,LOC102640771,0,0,0,0,0,0.03794,0,0,0,0.0294,0,0
ENSMUSG00000086712,AI427809,0.35486,0.21984,0.53045,0.12489,0.40787,0.30706,0.33134,0.59652,0.3417,0.35375,0.93909,0.52398
ENSMUSG00000086713,4930407G08Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086715,B230112J18Rik,0,0,0,0,0,0,0,0,0,0,0.03029,0
ENSMUSG00000086727,4931428L18Rik,0.22485,0.0535,0.20601,0.11512,0.08591,0.37862,0.23165,0.17503,0.31389,0.10937,0.24647,0.05828
ENSMUSG00000086728,Man2c1os,0.5841,0.78262,0.69665,0.61129,0.78449,1.06004,1.05174,0.78543,0.78101,0.76718,0.5866,0.65784
ENSMUSG00000086742,LOC102635948,0.08059,0,0,0.04087,0.03137,0,0.15061,0.24435,0,0.17642,0.07573,0.10496
ENSMUSG00000086745,Tspan2os,0.03526,0,0.0352,0,0,0,0,0,0,0,0,0
ENSMUSG00000086756,Gm14051,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086757,LOC105247277,0.03526,0,0.0352,0.04451,0,0,0,0,0,0,0.04357,0
ENSMUSG00000086758,Gm13912,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086763,Plxna4os1,0.21154,0.25246,0.28163,0.18569,0.15687,0.15177,0.30122,0.13963,0.12385,0.23522,0.18176,0.27989
ENSMUSG00000086765,Gm11827,0.10577,0.18033,0.14082,0.09284,0.06275,0.07589,0.06024,0.10472,0.18577,0.08821,0.18176,0.06997
ENSMUSG00000086781,1700092C02Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086782,E130102H24Rik,0.45834,0.28853,0.28163,0.30948,0.47062,0.5312,0.39158,0.27926,0.43346,0.44104,0.36352,0.59476
ENSMUSG00000086784,Isoc2a,25.59323,27.15765,26.08552,26.32537,27.04144,27.01672,28.44425,26.12572,26.41082,27.90747,24.97699,27.56201
ENSMUSG00000086786,Gm15908,0.17628,0.07213,0.0352,0.24758,0.18825,0.18971,0.18073,0.20944,0.12385,0.17642,0.27264,0.13994
ENSMUSG00000086788,1700029M20Rik,0,0.14426,0.28163,0.09284,0.1255,0.15177,0,0.06981,0.03096,0.05881,0.03029,0.2449
ENSMUSG00000086789,Lyrm7os,0.03526,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086798,Gm16222,0.25221,0.18855,0.42903,0.33018,0.36931,0.22578,0.35886,0.21927,0.20978,0.35927,0.33127,0.51243
ENSMUSG00000086799,4930502E09Rik,0.31731,0.2164,0.21122,0.27853,0.18825,0.03794,0.06024,0.17454,0.12385,0.05881,0.03029,0.06997
ENSMUSG00000086807,Platr21,0.07051,0.07213,0.07041,0,0,0,0.03012,0.03491,0.03096,0.0294,0.09088,0.03499
ENSMUSG00000086808,Gm11981,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086815,3110082J24Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086817,Gm11482,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086818,Ctrcos,0,0.14426,0.03526,0.03209,0.09425,0.0382,0.03016,0.07003,0.03754,0.08821,0.17926,0.03504
ENSMUSG00000086822,5330413P13Rik,0,0,0,0,0,0,0,0,0.05094,0,0.0303,0
ENSMUSG00000086823,1700028P15Rik,0,0,0,0.03095,0,0.03809,0,0,0.03104,0.0295,0,0
ENSMUSG00000086833,Gm12440,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086840,Gm14250,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086841,2410006H16Rik,23.65722,23.69524,24.78368,25.68689,25.19364,29.25383,28.94674,22.14586,23.99494,23.40449,22.47759,22.28605
ENSMUSG00000086843,E030013I19Rik,0.32446,0.47984,0.3748,0.38966,0.43147,0.23802,0.23771,0.29383,0.48706,0.31455,0.38261,0.36576
ENSMUSG00000086844,B230206H07Rik,0.67673,0.56077,0.97921,0.74126,0.48662,0.88317,0.87602,0.92522,0.97573,1.37749,0.47788,0.71163
ENSMUSG00000086845,Gm13010,0.28205,0.36066,0.42245,0.34043,0.251,0.49326,0.30122,0.31417,0.24769,0.35283,0.18176,0.2449
ENSMUSG00000086847,Tbx3os2,0.03526,0.04011,0.07047,0.03095,0,0.04154,0,0,0,0.0294,0,0
ENSMUSG00000086848,Lce6a,0,0,0.0352,0,0.03137,0.03794,0.03012,0,0,0,0,0
ENSMUSG00000086851,A430108G06Rik,0.07051,0.1082,0,0.15474,0.30257,0.07589,0.12049,0.13963,0.24224,0.13875,0.18176,0.20992
ENSMUSG00000086859,Snhg20,6.02799,5.95086,6.28262,6.26757,5.6474,7.77269,6.50625,5.93424,5.29437,5.99813,5.97609,5.66575
ENSMUSG00000086860,Gm1720,0.03526,0,0.0352,0.03095,0.03137,0,0,0.03491,0.03096,0,0,0
ENSMUSG00000086861,Gm15325,0,0,0,0,0,0,0,0,0,0,0,0.03499
ENSMUSG00000086862,Gm13546,0,0.03607,0,0,0.03137,0,0.03012,0.03491,0.06192,0.0294,0.06059,0.03499
ENSMUSG00000086863,Gm15543,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086887,1700060C16Rik,0,0,0,0,0,0,0,0,0.03096,0,0,0
ENSMUSG00000086892,4933430M04Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086894,Gm15708,0.25284,0.14605,0.20173,0.21819,0.14059,0,0.29468,0.15954,0.14287,0.18522,0.11972,0.20992
ENSMUSG00000086896,Cyp4x1os,0.70141,1.16803,0.86655,0.98474,0.71921,1.03821,0.60219,0.43843,0.80884,0.41196,0.50247,0.46061
ENSMUSG00000086899,1600002D24Rik,0.03526,0,0,0,0,0,0,0,0.03096,0,0,0.03499
ENSMUSG00000086903,Hotair,0,0,0,0,0,0,0,0,0,0,0,0.03499
ENSMUSG00000086909,Gm4926,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086914,Gm16124,0.35257,0.40053,0.52806,0.37138,0.47945,0.35583,0.63255,0.34907,0.46442,0.44938,0.4886,0.53483
ENSMUSG00000086918,4930429F24Rik,0.28205,0.07213,0.10561,0.30948,0.15687,0.15177,0.24097,0.27926,0.12385,0.14701,0.33323,0.10496
ENSMUSG00000086923,4930406D18Rik,0.03526,0,0.0352,0,0,0,0.06024,0,0,0,0.03029,0.03499
ENSMUSG00000086927,Gm11823,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086930,Frs3os,0.11314,0.08475,0.08374,0.18363,0.22356,0.21987,0.20041,0.27608,0.13708,0.10051,0.0318,0.21178
ENSMUSG00000086938,4930481A15Rik,1.48315,2.39678,2.75075,1.81164,1.90005,2.25145,2.31994,1.26179,2.75858,2.20041,2.35635,2.20606
ENSMUSG00000086943,4732414G09Rik,0.10577,0.07221,0.17602,0.0619,0.1255,0.07589,0.03014,0.03495,0.11706,0.16707,0.03594,0.03499
ENSMUSG00000086947,4930522O17Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086951,1700051A21Rik,0,0,0,0,0.03137,0,0.03012,0.03528,0.03096,0,0,0.03499
ENSMUSG00000086954,4930583P06Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086957,Gm13869,0.14119,0.03609,0.17658,0.24783,0.06277,0.11397,0.06034,0.31431,0.21682,0.1768,0.24253,0.07001
